dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE80672,GSM2132961,SRR3440933;SRR3440934,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440933_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440934_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440933_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440934_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,13.324681
GSE80672,GSM2132962,SRR3440935;SRR3440936,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440935_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440936_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440935_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440936_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,16.88433
GSE80672,GSM2132963,SRR3440937;SRR3440938,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440937_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440938_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440937_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440938_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,7.795317
GSE80672,GSM2132964,SRR3440939;SRR3440940,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440939_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440940_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440939_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440940_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,11.557058999999999
GSE80672,GSM2132965,SRR3440941;SRR3440942,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440941_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440942_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440941_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440942_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,15.415653
GSE80672,GSM2132966,SRR3440943;SRR3440944,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440943_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440944_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440943_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440944_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,10.500606
GSE80672,GSM2132827,SRR3440713,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440713_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440713_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,13.037,blood,M,control,5.854937
GSE80672,GSM2132828,SRR3440715,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440715_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440715_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,13.037,blood,M,control,5.316643
GSE80672,GSM2132829,SRR3440716;SRR3440717,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440716_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440717_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440716_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440717_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,17.383,blood,M,control,9.127178
GSE80672,GSM2132830,SRR3440718,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440718_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440718_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,17.383,blood,M,control,5.063206
GSE80672,GSM2132832,SRR3440721,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440721_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440721_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,17.383,blood,M,control,8.39062
GSE80672,GSM2132834,SRR3440724,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440724_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440724_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,17.383,blood,M,control,7.878358
GSE80672,GSM2132837,SRR3440728;SRR3440729,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440728_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440729_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440728_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440729_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,17.383,blood,M,control,11.526633
GSE80672,GSM2132778,SRR3440653,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440653_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440653_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,21.729,blood,M,control,13.277026
