dataset,run_accession,sample_id,library_layout,fastq_count,mates_present,missing_mate,pairing_status,total_size_bytes,total_size_gib,local_paths
GSE120137,SRR7871630,GSM3394312,SINGLE,1,,,single_or_unknown,4916830390,4.579155,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871630.fastq
GSE120137,SRR7871631,GSM3394313,SINGLE,1,,,single_or_unknown,3918429746,3.649322,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871631.fastq
GSE120137,SRR7871632,GSM3394314,SINGLE,1,,,single_or_unknown,3953645194,3.682119,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871632.fastq
GSE120137,SRR7871633,GSM3394315,SINGLE,1,,,single_or_unknown,3978606184,3.705366,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871633.fastq
GSE120137,SRR7871638,GSM3394320,SINGLE,1,,,single_or_unknown,4996352470,4.653216,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871638.fastq
GSE120137,SRR7871639,GSM3394321,SINGLE,1,,,single_or_unknown,3635230646,3.385572,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871639.fastq
GSE120137,SRR7871640,GSM3394322,SINGLE,1,,,single_or_unknown,3838406502,3.574795,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871640.fastq
GSE120137,SRR7871641,GSM3394323,SINGLE,1,,,single_or_unknown,4507728764,4.19815,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871641.fastq
GSE120137,SRR7871642,GSM3394324,SINGLE,1,,,single_or_unknown,3069716016,2.858896,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871642.fastq
GSE120137,SRR7871643,GSM3394325,SINGLE,1,,,single_or_unknown,3399668642,3.166188,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871643.fastq
GSE120137,SRR7871644,GSM3394326,SINGLE,1,,,single_or_unknown,4630571838,4.312556,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871644.fastq
GSE120137,SRR7871645,GSM3394327,SINGLE,1,,,single_or_unknown,3948178604,3.677028,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871645.fastq
GSE120137,SRR7871646,GSM3394328,SINGLE,1,,,single_or_unknown,3497990920,3.257758,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871646.fastq
GSE120137,SRR7871647,GSM3394329,SINGLE,1,,,single_or_unknown,3282066674,3.056663,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871647.fastq
GSE120137,SRR7871648,GSM3394330,SINGLE,1,,,single_or_unknown,3862733972,3.597451,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871648.fastq
GSE120137,SRR7871649,GSM3394331,SINGLE,1,,,single_or_unknown,3378910990,3.146856,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871649.fastq
GSE120137,SRR7871650,GSM3394332,SINGLE,1,,,single_or_unknown,3782716982,3.52293,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871650.fastq
GSE120137,SRR7871651,GSM3394333,SINGLE,1,,,single_or_unknown,4983810366,4.641535,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871651.fastq
GSE120137,SRR7871652,GSM3394334,SINGLE,1,,,single_or_unknown,2895945006,2.697059,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871652.fastq
