dataset,run_accession,mate,file_name,local_path,size_bytes,size_gib,mtime_utc,is_gzip,raw_root
GSE80672,SRR3440596,1.0,SRR3440596_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440596_1.fastq,1573328808,1.465277,2026-04-26T10:30:01.345283+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440596,2.0,SRR3440596_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440596_2.fastq,1573328808,1.465277,2026-04-26T10:30:01.345283+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440597,1.0,SRR3440597_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440597_1.fastq,2052302544,1.911356,2026-04-26T10:41:23.340502+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440597,2.0,SRR3440597_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440597_2.fastq,2052302544,1.911356,2026-04-26T10:41:23.361503+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440598,1.0,SRR3440598_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440598_1.fastq,3731025220,3.474788,2026-05-04T01:35:22.234537+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440598,2.0,SRR3440598_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440598_2.fastq,3731025220,3.474788,2026-05-04T01:35:22.237537+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440599,1.0,SRR3440599_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440599_1.fastq,2312229220,2.153431,2026-04-26T12:43:22.724598+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440599,2.0,SRR3440599_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440599_2.fastq,2312229220,2.153431,2026-04-26T12:43:22.741599+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440600,1.0,SRR3440600_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440600_1.fastq,2401899772,2.236943,2026-04-26T16:34:15.001328+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440600,2.0,SRR3440600_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440600_2.fastq,2401899772,2.236943,2026-04-26T16:34:15.025329+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440601,1.0,SRR3440601_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440601_1.fastq,3478170740,3.239299,2026-05-04T02:16:10.975857+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440601,2.0,SRR3440601_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440601_2.fastq,3478170740,3.239299,2026-05-04T02:16:10.974857+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440602,1.0,SRR3440602_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440602_1.fastq,770018688,0.717136,2026-04-26T11:21:45.831812+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440602,2.0,SRR3440602_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440602_2.fastq,770018688,0.717136,2026-04-26T11:21:45.830812+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440603,1.0,SRR3440603_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440603_1.fastq,2301302252,2.143255,2026-04-26T16:34:56.029340+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440603,2.0,SRR3440603_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440603_2.fastq,2301302252,2.143255,2026-04-26T16:34:55.973337+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440604,1.0,SRR3440604_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440604_1.fastq,2497450132,2.325932,2026-04-26T16:41:10.864533+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440604,2.0,SRR3440604_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440604_2.fastq,2497450132,2.325932,2026-04-26T16:41:10.868533+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440605,1.0,SRR3440605_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440605_1.fastq,2227847952,2.074845,2026-05-04T02:46:21.660039+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440605,2.0,SRR3440605_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440605_2.fastq,2227847952,2.074845,2026-05-04T02:46:21.657039+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440606,1.0,SRR3440606_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440606_1.fastq,3235067452,3.012891,2026-05-04T03:24:20.672680+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440606,2.0,SRR3440606_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440606_2.fastq,3235067452,3.012891,2026-05-04T03:24:20.685680+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440607,1.0,SRR3440607_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440607_1.fastq,3159680444,2.942682,2026-05-04T04:07:20.461071+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440607,2.0,SRR3440607_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440607_2.fastq,3159680444,2.942682,2026-05-04T04:07:20.453070+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440608,1.0,SRR3440608_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440608_1.fastq,4615606188,4.298618,2026-05-04T05:05:30.162098+00:00,False,/data/mouse_methyl/raw
