age_weeks,characteristics,dataset,intervention_guess,raw_age_token,raw_age_unit,sample_id,source_name,tissue_guess,title
112.989,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,26 month,month,GSM6590456,Heart,heart,26 month Heart_H
117.334,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,27 month,month,GSM6590457,Heart,heart,27 month Heart_I
121.68,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,28 month,month,GSM6590458,Heart,heart,28 month Heart_J
17.383,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590459,Kidney,kidney,4 month Kidney_A
17.383,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590460,Kidney,kidney,4 month Kidney_B
17.383,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590461,Kidney,kidney,4 month Kidney_C
52.149,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590462,Kidney,kidney,12 month Kidney_A
52.149,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590463,Kidney,kidney,12 month Kidney_B
52.149,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590464,Kidney,kidney,12 month Kidney_C
104.297,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590465,Kidney,kidney,24 month Kidney_A
104.297,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590466,Kidney,kidney,24 month Kidney_B
104.297,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590467,Kidney,kidney,24 month Kidney_C
104.297,cell type: Kidney | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590468,Kidney,kidney,24 month Kidney_D
17.383,cell type: Liver | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590469,Liver,liver,4 month Liver_A
