archive_or_file,available,content_type,dataset,filelist_error,filelist_size_bytes,filelist_time,filelist_type,head_error,http_status,remote_last_modified,remote_size_bytes,supplement_name,supplement_url
File,,,GSE213628,,22595894,09/19/2022 11:47:09,COV,,,,,GSM6590387_YU_gfp_neg_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590387_YU_gfp_neg_24B.cov.gz
File,,,GSE213628,,26122681,09/19/2022 11:47:17,COV,,,,,GSM6590388_YU_gfp_neg_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590388_YU_gfp_neg_34B.cov.gz
File,,,GSE213628,,20646955,09/19/2022 11:47:23,COV,,,,,GSM6590389_YU_gfp_pos_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590389_YU_gfp_pos_24B.cov.gz
File,,,GSE213628,,21234120,09/19/2022 11:47:30,COV,,,,,GSM6590390_YU_gfp_pos_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590390_YU_gfp_pos_34B.cov.gz
File,,,GSE213628,,19144554,09/19/2022 11:47:35,COV,,,,,GSM6590391_YC_gfp_neg_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590391_YC_gfp_neg_24B.cov.gz
File,,,GSE213628,,41990116,09/19/2022 11:47:48,COV,,,,,GSM6590392_YC_gfp_neg_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590392_YC_gfp_neg_34B.cov.gz
File,,,GSE213628,,18989928,09/19/2022 11:47:54,COV,,,,,GSM6590393_YC_gfp_pos_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590393_YC_gfp_pos_24B.cov.gz
File,,,GSE213628,,34669538,09/19/2022 11:48:05,COV,,,,,GSM6590394_YC_gfp_pos_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590394_YC_gfp_pos_34B.cov.gz
File,,,GSE213628,,21125677,09/19/2022 11:48:11,COV,,,,,GSM6590395_ML_gfp_neg_39a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590395_ML_gfp_neg_39a.cov.gz
File,,,GSE213628,,22113462,09/19/2022 11:48:18,COV,,,,,GSM6590396_ML_gfp_neg_39b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590396_ML_gfp_neg_39b.cov.gz
